mode,effect_sd,lag_min,seed,horizon_min,p_value,positive_folds,post_only,pre_only,pass_bonferroni
injected,0.5,30.0,6,60,0.22569041619806285,3.0,25.0,19.0,False
injected,0.5,30.0,6,120,0.06624908198136838,3.0,23.0,13.0,False
injected_any,0.5,30.0,6,0,,,,,False
injected,0.5,30.0,7,30,0.43570733968226705,2.0,20.0,18.0,False
injected,0.5,30.0,7,60,0.4388071643761577,2.0,22.0,20.0,False
injected,0.5,30.0,7,120,0.1620043000439182,3.0,22.0,15.0,False
injected_any,0.5,30.0,7,0,,,,,False
injected,0.5,30.0,8,30,0.4339697002142202,2.0,19.0,17.0,False
injected,0.5,30.0,8,60,0.38039582128067195,2.0,23.0,20.0,False
injected,0.5,30.0,8,120,0.15525232953950768,3.0,21.0,14.0,False
injected_any,0.5,30.0,8,0,,,,,False
injected,0.5,30.0,9,30,0.19576415256597102,3.0,20.0,14.0,False
injected,0.5,30.0,9,60,0.21479525392169307,3.0,23.0,17.0,False
injected,0.5,30.0,9,120,0.049368573352694525,4.0,20.0,10.0,False
injected_any,0.5,30.0,9,0,,,,,False
injected,0.5,30.0,10,30,0.2556878907926148,2.0,21.0,16.0,False
injected,0.5,30.0,10,60,0.5000000000000002,2.0,20.0,19.0,False
injected,0.5,30.0,10,120,0.049368573352694525,4.0,20.0,10.0,False
injected_any,0.5,30.0,10,0,,,,,False
injected,0.5,30.0,11,30,0.3714146793645341,3.0,20.0,17.0,False
injected,0.5,30.0,11,60,0.22569041619806285,3.0,25.0,19.0,False
injected,0.5,30.0,11,120,0.08137782872654498,3.0,21.0,12.0,False
injected_any,0.5,30.0,11,0,,,,,False
injected,0.5,30.0,12,30,0.1620043000439182,3.0,22.0,15.0,False
injected,0.5,30.0,12,60,0.32198447818518616,3.0,23.0,19.0,False
injected,0.5,30.0,12,120,0.1481031842995435,3.0,20.0,13.0,False
injected_any,0.5,30.0,12,0,,,,,False
injected,0.5,30.0,13,30,0.19576415256597102,3.0,20.0,14.0,False
injected,0.5,30.0,13,60,0.31355128507857444,2.0,21.0,17.0,False
injected,0.5,30.0,13,120,0.035377772990614176,4.0,21.0,10.0,False
injected_any,0.5,30.0,13,0,,,,,False
injected,0.5,30.0,14,30,0.5000000000000001,2.0,18.0,17.0,False
injected,0.5,30.0,14,60,0.43570733968226705,2.0,20.0,18.0,False
